#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,4.966E+02
4.000E-02,3.286E+02
6.000E-02,2.729E+02
8.000E-02,2.462E+02
1.000E-01,2.306E+02
1.200E-01,2.209E+02
1.400E-01,2.146E+02
1.600E-01,2.103E+02
1.800E-01,2.074E+02
2.000E-01,2.053E+02
2.200E-01,2.039E+02
2.400E-01,2.029E+02
2.600E-01,2.023E+02
2.800E-01,2.019E+02
3.000E-01,2.017E+02
3.200E-01,2.016E+02
3.400E-01,2.016E+02
3.600E-01,2.017E+02
3.800E-01,2.019E+02
4.000E-01,2.022E+02
4.200E-01,2.024E+02
4.400E-01,2.027E+02
4.600E-01,2.031E+02
4.800E-01,2.034E+02
5.000E-01,2.038E+02
5.200E-01,2.041E+02
5.400E-01,2.045E+02
5.600E-01,2.049E+02
5.800E-01,2.053E+02
6.000E-01,2.057E+02
6.200E-01,2.060E+02
6.400E-01,2.064E+02
6.600E-01,2.068E+02
6.800E-01,2.072E+02
7.000E-01,2.076E+02
7.200E-01,2.079E+02
7.400E-01,2.083E+02
7.600E-01,2.087E+02
7.800E-01,2.090E+02
8.000E-01,2.094E+02
8.200E-01,2.097E+02
8.400E-01,2.101E+02
8.600E-01,2.104E+02
8.800E-01,2.108E+02
9.000E-01,2.111E+02
9.200E-01,2.114E+02
9.400E-01,2.118E+02
9.600E-01,2.121E+02
9.800E-01,2.124E+02
1.000E+00,2.127E+02
1.020E+00,2.131E+02
1.040E+00,2.134E+02
1.060E+00,2.137E+02
1.080E+00,2.140E+02
1.100E+00,2.143E+02
1.120E+00,2.146E+02
1.140E+00,2.149E+02
1.160E+00,2.152E+02
1.180E+00,2.155E+02
1.200E+00,2.158E+02
1.220E+00,2.161E+02
1.240E+00,2.163E+02
1.260E+00,2.166E+02
1.280E+00,2.169E+02
1.300E+00,2.171E+02
1.320E+00,2.174E+02
1.340E+00,2.177E+02
1.360E+00,2.179E+02
1.380E+00,2.182E+02
1.400E+00,2.184E+02
1.420E+00,2.187E+02
1.440E+00,2.189E+02
1.460E+00,2.191E+02
1.480E+00,2.194E+02
1.500E+00,2.196E+02
1.520E+00,2.198E+02
1.540E+00,2.201E+02
1.560E+00,2.203E+02
1.580E+00,2.205E+02
1.600E+00,2.207E+02
1.620E+00,2.209E+02
1.640E+00,2.212E+02
1.660E+00,2.214E+02
1.680E+00,2.216E+02
1.700E+00,2.218E+02
1.720E+00,2.220E+02
1.740E+00,2.222E+02
1.760E+00,2.224E+02
1.780E+00,2.226E+02
1.800E+00,2.228E+02
1.820E+00,2.230E+02
1.840E+00,2.232E+02
1.860E+00,2.234E+02
1.880E+00,2.235E+02
1.900E+00,2.237E+02
1.920E+00,2.239E+02
1.940E+00,2.241E+02
1.960E+00,2.243E+02
1.980E+00,2.245E+02
2.000E+00,2.246E+02
